,importance
log_dolvol_21d,0.025501581103960797
log_size,0.026246905845208276
minret_21d,0.029444171170574466
mom_756d,0.029746438406973587
std_turn_21d,0.030102370774748866
chmom,0.030494471294277514
ill_21d,0.031275669184716554
maxret_21d,0.0320394911601077
beta_252d,0.03251149110424282
mom_252d,0.03298611654303659
betasq_252d,0.03302316782827666
turn_21d,0.033442111552266875
mom_63d,0.03405371169244293
mom_126d,0.03594253559691933
retvol_21d,0.03615341639679349
mom_21d,0.03856589286730356
ind_mom,0.041027614792880404
idiovol_63d,0.042289107776254886
retvol_63d,0.04416831789568382
baspread_21d,0.04470810000831881
mom_5d,0.07224062958512165
zerotrade_21d,0.11701887756225217
ret_1d,0.12701780985763828
