date,equity,cash,n_positions,n_orders
2026-05-13,100000.0,4794.299690246582,5,5
2026-05-14,102155.60039520264,1592.6003952026367,5,0
2026-05-15,96690.60039520264,8929.600395202637,5,4
2026-05-18,98216.60039520264,2379.6003952026367,5,5
2026-05-19,95985.60039520264,3673.6003952026367,5,4
2026-05-20,97860.60039520264,4012.6003952026367,5,3
2026-05-21,106644.60039520264,1875.6003952026367,5,3
2026-05-22,110123.60039520264,5003.600395202637,5,4
2026-05-29,119732.10039520264,4606.100395202637,5,3
2026-06-01,122670.10039520264,2437.1003952026367,5,6
2026-06-02,118029.10039520264,2720.1003952026367,5,4
2026-06-03,118093.10039520264,2492.1003952026367,5,3
2026-06-04,113705.10039520264,2227.1003952026367,5,3
2026-06-05,115305.60039520264,3653.1003952026367,5,4
2026-06-08,108753.10039520264,3032.1003952026367,5,3
2026-06-09,113714.60039520264,2176.6003952026367,5,4
2026-06-10,107017.10039520264,2393.6003952026367,5,4
2026-06-11,107022.60039520264,3268.6003952026367,5,5
2026-06-12,111765.10039520264,2887.6003952026367,5,5
2026-06-15,118458.10039520264,6468.100395202637,5,5
2026-06-16,120514.10039520264,6274.100395202637,5,4
2026-06-17,120844.10039520264,5834.100395202637,5,3
2026-06-18,125738.10039520264,4767.100395202637,5,5
2026-06-22,126299.10039520264,3623.1003952026367,5,4
2026-06-23,122673.10039520264,1958.1003952026367,5,2
2026-06-24,120508.10039520264,5053.100395202637,5,4
2026-06-25,123878.10039520264,2593.1003952026367,5,5
2026-06-26,115695.10039520264,3001.1003952026367,5,2
2026-06-29,117585.10039520264,3931.1003952026367,5,4
2026-06-30,121531.60039520264,5060.100395202637,5,5
2026-07-01,123133.10039520264,2138.1003952026367,5,6
